fips	Elevation	Incidence	weight	Cancer
53033	0.09375	58.1	500	Lung
53035	0.07513	63.8	481.631601953194	Lung
53037	0.63657	53.6	182.652675863235	Lung
53039	0.49813	46.1	138.423263940712	Lung
53041	0.19497	69.9	261.916017074176	Lung
53043	0.6689	76	100.915806492343	Lung
53045	0.07554	84.6	222.272355456094	Lung
53047	0.63894	56.8	198.907013451009	Lung
53049	0.0765	70.7	150.439356552732	Lung
53051	0.8434	66.2	108.314357312408	Lung
53053	0.10884	77.3	500	Lung
53057	0.12677	69.5	325.339822339658	Lung
53061	0.10887	73.1	500	Lung
53063	0.63886	69.6	500	Lung
53065	0.72001	61.8	200.164931993594	Lung
53067	0.0679	69.2	455.362492965769	Lung
53071	0.29391	50	234.90423580685	Lung
53073	0.09604	59.9	408.428696347355	Lung
53077	0.34955	62.6	471.784908618324	Lung
56003	1.34189	49.5	107.056060080689	Lung
56005	1.38626	75.4	186.866262337534	Lung
56007	2.14516	54.7	125.055987461617	Lung
56009	1.55684	71.4	109.781601372908	Lung
56013	1.74152	48.8	191.436673602526	Lung
56015	1.29468	52.4	111.973211081937	Lung
56021	1.84803	61.7	285.669389329694	Lung
56023	2.03552	25.6	120.718681238655	Lung
56025	1.6222	66.4	257.939915484207	Lung
56029	1.6262	42.3	160.580198032011	Lung
56033	1.28398	56	162.972390299707	Lung
56037	1.95832	39.1	193.940712590214	Lung
56039	2.12341	36.7	135.096261976414	Lung
56041	2.11772	32.1	140.506227619988	Lung
04003	1.36983	93.2	343.154484161289	Breast
04007	1.30298	86.1	226.572284271488	Breast
04009	1.01521	104.9	183	Breast
04012	0.27589	36.5	140.410113595852	Breast
04013	0.38463	114.7	500	Breast
04015	0.57798	96	393.741031643897	Breast
04019	0.78219	100.7	500	Breast
04021	0.56683	96.8	423.94221304324	Breast
04023	1.21773	79.9	195.910693939866	Breast
04025	1.4198	110.7	409.28840687222	Breast
04027	0.06017	98.4	400.032498679795	Breast
06001	0.05279	128.3	500	Breast
06007	0.19901	137.2	450.744938962159	Breast
06013	0.07319	136.8	500	Breast
06017	0.85998	133.7	397.717236237003	Breast
06019	0.11653	110.2	500	Breast
06023	0.12935	118.7	357.523425805918	Breast
06025	-0.01103	104.2	377.307566846996	Breast
06029	0.28028	115.3	500	Breast
06031	0.09173	112.4	359.806892652156	Breast
06033	0.50428	103.3	241.472565729525	Breast
06037	0.15581	117.9	500	Breast
06039	0.24307	108.6	350.868921393731	Breast
06041	0.05397	151	498.236891448235	Breast
06047	0.05104	105.3	458.861634918414	Breast
06053	0.07103	111.9	500	Breast
06055	0.07428	124.3	352.53226802663	Breast
06057	0.88241	144.9	303.369411773831	Breast
06059	0.06836	126.5	500	Breast
06061	0.2958	143.5	498.396428558632	Breast
06065	0.34742	119	500	Breast
06067	0.0261	126.8	500	Breast
06071	0.53363	114.6	500	Breast
06073	0.12913	128.7	500	Breast
06075	0.05683	116.8	500	Breast
06077	0.01064	114.1	500	Breast
06079	0.16742	129	497.588183139431	Breast
06081	0.05823	139.1	500	Breast
06083	0.08125	133.3	500	Breast
06085	0.05731	128	500	Breast
06087	0.09877	124.8	500	Breast
06089	0.29698	121.2	404.049501917772	Breast
06093	1.13598	109.9	210.478027356777	Breast
06095	0.03694	125.3	500	Breast
06097	0.068	146	500	Breast
06099	0.03307	115.8	500	Breast
06103	0.18074	115.7	236.725579521944	Breast
06107	0.13237	105.4	500	Breast
06109	0.77616	164.8	233.454492353435	Breast
06111	0.15456	137.8	500	Breast
06113	0.01839	132.5	410.682359007542	Breast
06115	0.08789	110.7	245.395598982541	Breast
08001	1.61368	117.8	500	Breast
08003	2.30932	101.9	122.335603975294	Breast
08005	1.70136	123	500	Breast
08013	1.64471	138.9	500	Breast
08015	2.51958	100.4	127.444105395267	Breast
08029	1.82309	100.7	166.83524807426	Breast
08031	1.63732	131.2	500	Breast
08041	1.94199	123.1	500	Breast
08043	1.7424	117	214.813872922584	Breast
08045	2.03862	131.4	209.262992428188	Breast
08051	2.67836	107.6	118.135515404979	Breast
